host,source,year,dyad,FDI_AM
AGO,ARG,1993,AGO_ARG,NA
AGO,ARG,1994,AGO_ARG,NA
AGO,ARG,1995,AGO_ARG,NA
AGO,ARG,1996,AGO_ARG,NA
AGO,ARG,1997,AGO_ARG,NA
AGO,ARG,1998,AGO_ARG,NA
AGO,ARG,1999,AGO_ARG,NA
AGO,ARG,2e3,AGO_ARG,NA
AGO,ARG,2001,AGO_ARG,NA
AGO,ARG,2002,AGO_ARG,NA
AGO,ARG,2003,AGO_ARG,NA
AGO,ARG,2004,AGO_ARG,NA
AGO,ARG,2005,AGO_ARG,NA
AGO,ARG,2006,AGO_ARG,NA
AGO,ARG,2007,AGO_ARG,NA
AGO,ARG,2008,AGO_ARG,NA
AGO,ARG,2009,AGO_ARG,NA
AGO,ARG,2010,AGO_ARG,NA
AGO,ARG,2011,AGO_ARG,NA
AGO,ARG,2012,AGO_ARG,NA
AGO,AUS,1993,AGO_AUS,NA
AGO,AUS,1994,AGO_AUS,NA
AGO,AUS,1995,AGO_AUS,NA
AGO,AUS,1996,AGO_AUS,NA
AGO,AUS,1997,AGO_AUS,NA
AGO,AUS,1998,AGO_AUS,NA
AGO,AUS,1999,AGO_AUS,NA
AGO,AUS,2e3,AGO_AUS,NA
AGO,AUS,2001,AGO_AUS,NA
AGO,AUS,2002,AGO_AUS,NA
AGO,AUS,2003,AGO_AUS,NA
AGO,AUS,2004,AGO_AUS,NA
AGO,AUS,2005,AGO_AUS,NA
AGO,AUS,2006,AGO_AUS,NA
AGO,AUS,2007,AGO_AUS,NA
AGO,AUS,2008,AGO_AUS,NA
AGO,AUS,2009,AGO_AUS,NA
AGO,AUS,2010,AGO_AUS,NA
AGO,AUS,2011,AGO_AUS,NA
AGO,AUS,2012,AGO_AUS,NA
AGO,AUT,1985,AGO_AUT,NA
AGO,AUT,1986,AGO_AUT,NA
AGO,AUT,1987,AGO_AUT,NA
AGO,AUT,1988,AGO_AUT,NA
AGO,AUT,1989,AGO_AUT,NA
AGO,AUT,1990,AGO_AUT,NA
AGO,AUT,1991,AGO_AUT,NA
AGO,AUT,1993,AGO_AUT,NA
AGO,AUT,1994,AGO_AUT,NA
